Iteration	Posterior	Likelihood	Prior	alpha	clock	lambda	mu	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	rates[1]	rates[2]	rates[3]	rates[4]	rates[5]	rates[6]	tmrca
230	-27166.61	-26862.64	-303.9718	0.04824822	1.259021e-05	0.8914413	0.897229	0.324796	0.283231	0.132858	0.259115	1.85058e-13	6.41995e-07	0.00430102	3.9957	0.00721339	0.520537	0.0200358	0.0150574	0.416409	0.0207467	363.8322
235	-27157.1	-26857.86	-299.2423	0.008558251	1.310248e-05	0.8938836	0.8978883	0.32199	0.290293	0.13084	0.256877	2.51292e-71	7.50672e-36	4.23793e-15	4	0.00727245	0.526122	0.0202508	0.0117027	0.420877	0.0137754	359.8329
240	-27160.11	-26851.83	-308.2837	0.0265735	1.197339e-05	0.8906527	0.8978861	0.326501	0.280352	0.132673	0.260475	1.23281e-23	5.24962e-12	3.33269e-05	3.99997	0.011212	0.553445	0.0228629	0.0123104	0.393647	0.00652239	390.6465
245	-27159.96	-26857.79	-302.1733	0.04667954	1.207939e-05	0.8898054	0.8959291	0.326997	0.28016	0.134387	0.258456	7.04828e-14	3.96257e-07	0.00352065	3.99648	0.00685454	0.519209	0.0273067	0.0115489	0.43183	0.00325109	407.6185
250	-27161.4	-26857.76	-303.6463	0.07059749	1.422676e-05	0.8918134	0.8960163	0.326997	0.28016	0.134387	0.258456	1.64443e-09	6.04051e-05	0.0283579	3.97158	0.00748524	0.566982	0.0298193	0.00686625	0.385962	0.00288535	322.8317
255	-27147.5	-26853.27	-294.2383	0.06264048	1.422676e-05	0.8923986	0.8970322	0.322198	0.286754	0.133773	0.257275	1.35924e-10	1.73781e-05	0.0169065	3.98308	0.00757377	0.559968	0.0283504	0.010924	0.390527	0.00265703	318.6222
260	-27151.24	-26852.7	-298.5442	0.04687047	1.409167e-05	0.8925718	0.8961646	0.320232	0.285005	0.132957	0.261806	7.95441e-14	4.20952e-07	0.00361008	3.99639	0.00780167	0.576817	0.0302232	0.0112527	0.369744	0.00416143	332.1792
265	-27157.03	-26856.18	-300.8461	0.06013199	1.514668e-05	0.8944539	0.8998857	0.330526	0.277702	0.131949	0.259822	5.40162e-11	1.09574e-05	0.0139609	3.98603	0.00340821	0.536582	0.0338986	0.0121651	0.409241	0.00470581	336.3679
270	-27147.34	-26852.8	-294.5348	0.01542844	1.516997e-05	0.8909583	0.897067	0.320182	0.281156	0.133591	0.265071	5.31377e-40	3.44986e-20	1.34064e-08	4	0.00338854	0.545778	0.0249996	0.0047926	0.416255	0.00478646	315.736
275	-27159.56	-26858.51	-301.0559	0.08955122	1.241968e-05	0.8891468	0.896146	0.323054	0.284622	0.128142	0.264181	1.04631e-07	0.000481051	0.0670971	3.93242	0.00315054	0.5767	0.0153553	0.00528909	0.395304	0.00420108	396.1234
280	-27147.44	-26853.11	-294.3286	0.069467	1.54679e-05	0.8896965	0.895458	0.328011	0.280587	0.132221	0.259181	1.19485e-09	5.14948e-05	0.0265398	3.97341	0.00605412	0.570134	0.0240547	0.00480218	0.390802	0.00415324	346.7088
285	-27146.95	-26853.67	-293.2768	0.007397442	1.453039e-05	0.8902639	0.8967188	0.32753	0.280175	0.132106	0.260189	2.29699e-82	2.26979e-41	2.1698e-17	4	0.00804964	0.511388	0.0236554	0.00210627	0.447643	0.00715765	330.415
290	-27148.12	-26856.11	-292.0099	0.01540043	1.504318e-05	0.8906866	0.8981605	0.321038	0.287014	0.129802	0.262146	4.51257e-40	3.17916e-20	1.29593e-08	4	0.00732881	0.546972	0.0215371	0.00626497	0.407558	0.010339	351.0156
295	-27147.98	-26858.78	-289.2073	0.05298765	1.595384e-05	0.8914525	0.8985872	0.322864	0.286241	0.129453	0.261441	2.41591e-12	2.3187e-06	0.00732815	3.99267	0.0102114	0.537037	0.0282617	0.00615117	0.408187	0.0101512	344.4704
300	-27134.86	-26845.3	-289.5554	0.003627726	1.751614e-05	0.8915084	0.8977405	0.322864	0.286241	0.129453	0.261441	6.14244e-167	1.17414e-83	6.11229e-35	4	0.00751255	0.537133	0.0261314	0.00619976	0.40826	0.0147625	281.0572
305	-27140.11	-26850.21	-289.9077	0.006115379	1.7875e-05	0.8895117	0.8964004	0.326832	0.283553	0.130629	0.258986	1.98931e-99	6.68044e-50	6.24767e-21	4	0.0106384	0.531753	0.0262491	0.00613766	0.41737	0.00785161	268.6429
310	-27136.51	-26850.84	-285.672	0.005842814	1.845093e-05	0.8906029	0.8973743	0.32772	0.28484	0.131062	0.256378	5.0822e-104	3.37669e-52	6.96104e-22	4	0.0048744	0.537669	0.0305976	0.00253258	0.417932	0.00639414	293.9671
315	-27150.11	-26863.16	-286.958	0.06068353	1.908492e-05	0.8883287	0.8940953	0.3266	0.287286	0.130614	0.255501	6.66015e-11	1.21665e-05	0.0145808	3.98541	0.0200441	0.554479	0.0315542	0.0116641	0.378257	0.00400174	262.2891
320	-27139.73	-26856.27	-283.46	0.1024649	2.015541e-05	0.8904967	0.8953526	0.322683	0.287416	0.130673	0.259228	7.34637e-07	0.00127316	0.100438	3.89829	0.0120579	0.534415	0.0185555	0.0127464	0.414401	0.00782488	253.4796
325	-27144.98	-26867.35	-277.6318	0.09145674	2.130245e-05	0.8916964	0.8958511	0.32846	0.287773	0.133241	0.250525	1.44413e-07	0.000565054	0.0717291	3.92771	0.00987278	0.47404	0.0410935	0.00443277	0.453283	0.0172776	265.077
330	-27143.35	-26858	-285.3454	0.02365164	1.959424e-05	0.8927398	0.8936057	0.324402	0.288132	0.134526	0.25294	1.95976e-26	2.09359e-13	8.75357e-06	3.99999	0.00724519	0.526572	0.0249982	0.00455972	0.432415	0.00421056	243.8696
335	-27136.28	-26855.95	-280.3241	0.0659383	1.97003e-05	0.8895486	0.894132	0.323392	0.290349	0.134107	0.252152	4.1092e-10	3.02074e-05	0.0212681	3.9787	0.00712212	0.539552	0.0230723	0.00642788	0.41958	0.00424611	268.3788
340	-27129.33	-26846.14	-283.1846	0.03920775	2.064892e-05	0.8898044	0.8944767	0.319146	0.286537	0.132346	0.261972	2.45879e-16	2.34191e-08	0.00108885	3.99891	0.00638354	0.491311	0.0298474	0.0105903	0.458483	0.00338478	233.1534
345	-27130.6	-26852.89	-277.7144	0.05716721	2.073445e-05	0.889402	0.8968012	0.32702	0.289617	0.132872	0.250491	1.63488e-11	6.0297e-06	0.0108954	3.9891	0.00409541	0.525375	0.0261126	0.0114885	0.426359	0.006569	222.325
350	-27120.13	-26850.7	-269.4332	0.05652366	2.202535e-05	0.8866873	0.8963188	0.326559	0.281998	0.129377	0.262066	1.24058e-11	5.25278e-06	0.0102891	3.98971	0.00690953	0.532909	0.0217617	0.00875269	0.424363	0.00530438	226.2354
355	-27118.82	-26853.84	-264.9707	0.01759036	2.335839e-05	0.8888917	0.896026	0.328284	0.283488	0.131531	0.256697	3.32099e-35	8.62286e-18	1.3256e-07	4	0.0122759	0.563626	0.0174116	0.00899133	0.39155	0.00614524	243.874
360	-27123.21	-26855.51	-267.7027	0.04722992	2.335361e-05	0.8875355	0.8950904	0.328489	0.283665	0.129762	0.258084	9.9619e-14	4.71071e-07	0.00378257	3.99622	0.013046	0.530725	0.0205907	0.0095554	0.416114	0.00996909	204.7404
365	-27123.46	-26851.57	-271.8933	0.04443412	2.14638e-05	0.8874327	0.8963023	0.329591	0.285282	0.128852	0.256275	1.57209e-14	1.87179e-07	0.00257918	3.99742	0.00410233	0.549305	0.0225746	0.00699286	0.404738	0.0122875	220.8304
